264270.48528265476  177400.70058010172  0.023727537760497845 | 1.470999997675072E14  8.357288466592042E9  9.999999984194857E12 | -2.8932585733874535E10  1.461125506293265E11  0.0237669910785664 | 6220800.0
269593.4106876768  184046.32434457404  0.02439591910681646 | 1.470999997609581E14  8.473361917390315E9  9.999999983749643E12 | -3.2478225075780437E10  1.4535640891985666E11  0.024435721858499883 | 6307200.0
274887.0886047588  190822.84470159275  0.025073583527431286 | 1.4709999975431803E14  8.589435368183349E9  9.999999983298244E12 | -3.6004382326219795E10  1.4451307587664297E11  0.02511370570732197 | 6393600.0
280148.3371197549  197729.52839171374  0.02576053102234318 | 1.47099999747587E14  8.705508818971071E9  9.999999982840662E12 | -3.950893798511361E10  1.435830399300386E11  0.025800941764859364 | 6480000.0
285373.99172123906  204765.56657467663  0.026456761591552965 | 1.4709999974076503E14  8.821582269753412E9  9.999999982376896E12 | -4.298978414448237E10  1.4256683985542136E11  0.026497429192995855 | 6566400.0
290560.90700972406  211930.07519349226  0.02716227523506143 | 1.470999997338521E14  8.937655720530298E9  9.999999981906947E12 | -4.644482562697182E10  1.414650645306719E11  0.02720316717657425 | 6652800.0
295705.9584018126  219222.09537298614  0.027877071952869308 | 1.470999997268482E14  9.053729171301657E9  9.999999981430814E12 | -4.987198112100211E10  1.4027835267070056E11  0.027918154924285243 | 6739200.0
300806.0438287949  226640.59385287235  0.0286011517449773 | 1.470999997197533E14  9.169802622067417E9  9.999999980948498E12 | -5.3269184312218445E10  1.3900739253897314E11  0.02864239166954257 | 6825600.0
305858.0854292003  234184.4634554377  0.02933451461138607 | 1.470999997125675E14  9.285876072827509E9  9.999999980459998E12 | -5.6634385010913704E10  1.3765292163598254E11  0.029375876671343764 | 6912000.0
310859.03123479476  241852.5235879202  0.030077160552096218 | 1.4709999970529072E14  9.401949523581858E9  9.999999979965314E12 | -5.9965550275086075E10  1.3621572636461012E11  0.030118609215115832 | 6998400.0
315805.85684950696  249643.52077966917  0.03082908956710831 | 1.4709999969792297E14  9.518022974330393E9  9.999999979464447E12 | -6.326066552878585E10  1.3469664167231886E11  0.03087058861354523 | 7084800.0
320695.56712074985  257556.12925417695  0.031590301656422855 | 1.4709999969046425E14  9.634096425073044E9  9.999999978957396E12 | -6.651773567539697E10  1.3309655067011813E11  0.03163181420739142 | 7171200.0
325525.19780259166  265588.9515360746  0.032360796820040325 | 1.470999996829146E14  9.750169875809736E9  9.999999978444162E12 | -6.973478620548929E10  1.3141638422823868E11  0.03240228536628333 | 7257600.0
330291.8172102143  273740.51909318456  0.033140575057961134 | 1.4709999967527397E14  9.866243326540401E9  9.999999977924744E12 | -7.290986429886752E10  1.2965712054845587E11  0.03318200148949815 | 7344000.0
334992.52786508336  282009.2930137241  0.03392963637018565 | 1.4709999966754238E14  9.982316777264967E9  9.999999977399143E12 | -7.604103992043285E10  1.2781978471299889E11  0.033970962006721624 | 7430400.0
339624.4681302351  290393.66471875185  0.03472798075671419 | 1.4709999965971984E14  1.0098390227983358E10  9.999999976867357E12 | -7.912640690946167E10  1.2590544820998376E11  0.03476916637878931 | 7516800.0
344184.81383507204  298891.95670994936  0.035535608217547 | 1.4709999965180634E14  1.0214463678695505E10  9.999999976329389E12 | -8.216408406189552E10  1.239152284353099E11  0.03557661409840813 | 7603200.0
348670.779889038  307502.423352826  0.03635251875268428 | 1.4709999964380188E14  1.0330537129401337E10  9.999999975785236E12 | -8.5152216205224E10  1.2185028817096057E11  0.03639330469085743 | 7689600.0
353079.6218835287  316223.25169543235  0.0371787123621262 | 1.4709999963570644E14  1.0446610580100782E10  9.9999999752349E12 | -8.808897526553084E10  1.1971183503965097E11  0.03721923771466904 | 7776000.0
357408.637681373  325052.56232266215  0.03801418904587282 | 1.4709999962752006E14  1.0562684030793768E10  9.99999997467838E12 | -9.097256132626094E10  1.1750112093577048E11  0.03805441276228556 | 7862400.0
361655.1689932025  333988.4102462174  0.0388589488039242 | 1.4709999961924272E14  1.0678757481480223E10  9.999999974115678E12 | -9.380120367825371E10  1.1521944143256921E11  0.038898829460696234 | 7948800.0
365816.60294000787  343028.7858303041  0.03971299163628031 | 1.470999996108744E14  1.0794830932160074E10  9.999999973546791E12 | -9.657316186057487E10  1.1286813516554433E11  0.03975248747204982 | 8035200.0
369890.37360115966  352171.6157531177  0.04057631754294106 | 1.4709999960241516E14  1.091090438283325E10  9.99999997297172E12 | -9.928672669166652E10  1.1044858319198628E11  0.040615386494243726 | 8121600.0
373873.9635471527  361414.76400416816  0.041448926523906304 | 1.4709999959386494E14  1.102697783349968E10  9.999999972390467E12 | -1.0194022129032109E11  1.0796220832665236E11  0.041487526261488786 | 8208000.0
377764.9053563125  370756.0329174828  0.042330818579175845 | 1.4709999958522375E14  1.1143051284159292E10  9.99999997180303E12 | -1.0453200208597246E11  1.0541047445354112E11  0.04236890654484906 | 8294400.0
381560.7831146821  380193.16424071527  0.04322199370874941 | 1.470999995764916E14  1.1259124734812014E10  9.999999971209408E12 | -1.0706045981778317E11  1.0279488581374998E11  0.04325952715275597 | 8380800.0
385259.2338982866  389723.8402401735  0.04412245191262667 | 1.470999995676685E14  1.1375198185457773E10  9.999999970609604E12 | -1.0952402052199368E11  1.0011698626940688E11  0.04415938793149618 | 8467200.0
388857.9492369538  399345.68484176503  0.04503219319080723 | 1.4709999955875444E14  1.1491271636096498E10  9.999999970003615E12 | -1.1192114650698566E11  9.737835854367657E10  0.045068488765672585 | 8553600.0
392354.676558848  409056.2648078436  0.04595121754329063 | 1.470999995497494E14  1.1607345086728119E10  9.999999969391445E12 | -1.1425033731549811E11  9.458062343685336E10  0.045986829578637756 | 8640000.0
395747.22061485326  418853.09094992146  0.04687952497007636 | 1.4709999954065344E14  1.1723418537352564E10  9.999999968773092E12 | -1.1651013067342133E11  9.17254390185629E10  0.04691441033289928 | 8726400.0
399033.44488192385  428733.6193771946  0.04781711547116382 | 1.470999995314665E14  1.1839491987969759E10  9.999999968148555E12 | -1.1869910342458047E11  8.881449979610907E10  0.047851231030496336 | 8812800.0
